ID;eventID;longitude;latitude;depth;magnitude;rake;dip;strike;rupture_width;rupture_length;midpt_lon;midpt_lat;midpt_depth;scale_law;slip;bottom_roughness;seeds_gm;exposure_model;vulnerability_model_eq;vulnerability_model_ts
7467;166834;-71,38403;-34,61754;9,09819;6,95;90;45,00077;30,08768;19,12927952;32,03533621;-71,43249484;-34,64323715;6,613080384;WellsCoppersmith;1,822010376;0,01306643;2551920489;;;
7468;166842;-70,83988;-29,73813;50,71485;7,65;90;20,09485;6,565967;45,24681177;93,11667672;-70,86624066;-29,71639598;49,66020994;Stafford;2,973468175;0,026829609;488512312;;;
7469;166844;-68,98349;-30,25724;13,91278;7,05;90;75,00071;90,07552;28,57397877;43,62871079;-68,9128084;-30,25956733;14,88206605;Stafford;1,265131437;0,042078785;2780258443;;;
7470;166895;-73,06326;-37,16623;51,53473;6,85;90;13,56523;12,63167;31,46126069;35,48126169;-73,10422784;-37,17516216;50,73249474;Stafford;0,708114633;0,018570112;3791657028;;;
7471;166904;-71,43935;-34,41075;98,06107;6,3;-90;44,6976;15,07478;8,493684952;8,783352311;-71,4681439;-34,39694366;94,70385221;WellsCoppersmith;1,585339549;0,023973477;4217612321;;;
7472;167017;-69,04691;-32,21075;9,027225;6,15;90;37,3849;181,4788;8,920321021;13,74806076;-69,05223288;-32,20044838;8,52697946;WellsCoppersmith;0,574456064;0,019903257;909974411;;;
7473;167027;-70,28184;-32,11738;12;7,05;-90;60,00056;0,03892012;19,05729269;46,94377999;-70,28783351;-32,17369715;10,06286533;WellsCoppersmith;1,762947926;0,009099304;3999970630;;;
7474;167052;-68,83537;-32,49895;3,009075;6,35;90;37,41819;174,867;13,54254937;17,97460492;-68,80824805;-32,54397953;5,173810653;Stafford;0,577456088;0,035542762;1260812178;;;
7475;167066;-69,18784;-30,53594;4,755282;6,35;180;73,5012;341,965;11,22799554;23,308034;-69,18851278;-30,53398325;3,987972793;Stafford;0,53711944;0,019251628;1099522715;;;
7476;167081;-71,3957;-31,24464;39,1077;8,05;90;14,51628;7,454022;67,33257148;218,8175926;-71,34995664;-31,21490523;40,12163416;WellsCoppersmith;3,385098488;0,021270523;3744114220;;;
7477;167098;-72,8914;-34,03704;23,85775;6,85;90;27,5914;17,70589;21,97353072;33,29867464;-72,95552878;-34,072961;21,51811577;Stafford;1,080318845;0,010384095;3308397166;;;
7478;167103;-68,19238;-33,32175;11,40132;7,15;90;45,00079;0,06663586;32,24519704;51,38447784;-68,19299925;-33,23358503;11,30390526;Stafford;1,344564878;0,006048587;4221206462;;;
7479;167269;-69,77922;-35,08514;5;6,05;90;44,99878;0,02293005;5,687436069;10,83243881;-69,76746042;-35,11305088;6,513762158;Stafford;0,809535639;0,040218718;2183570116;;;
7480;167276;-71,01741;-35,10215;120,4633;6,2;-90;53,67973;22,40167;11,58856162;16,68211804;-71,00090994;-35,04141063;118,5776402;Stafford;0,43310981;0,03047655;3391295669;;;
7481;167278;-71,77834;-32,96477;41,53228;6,65;90;10,56909;11,68422;13,00811706;35,82661542;-71,74816247;-32,9733665;42,08288484;WellsCoppersmith;0,850077511;0,024151848;403231556;;;
7482;167280;-69,11564;-32,30779;15,04538;6,25;90;37,57485;161,522;4,093795344;7,390512579;-69,08707427;-32,33800514;17,08636547;WellsCoppersmith;3,289107416;0,042590422;2388317902;;;
7483;167295;-68,49012;-33,46622;159,2403;6,1;-90;55,14568;38,71581;11,1468501;14,93969763;-68,5184647;-33,46673105;156,2232787;Stafford;0,355946541;0,004804954;3693909918;;;
7484;167304;-68,42558;-33,89686;182,4726;6,1;-90;50,68393;70,67456;6,587126178;10,31063809;-68,46249222;-33,90829338;182,5664818;Stafford;0,872764795;0,035923269;3331511540;;;
7485;167309;-68,41354;-31,8854;15,04538;6,15;90;38,81923;27,02178;5,621004762;18,36211237;-68,38617563;-31,87601442;16,54790833;WellsCoppersmith;0,68256207;0,016149326;1563538765;;;
7486;167323;-71,44421;-33,71327;8;6,15;90;44,99977;30,03248;7,168968584;6,603854477;-71,44050421;-33,71605123;8,467641908;WellsCoppersmith;1,488074154;0,008389292;2568106774;;;
7487;167363;-70,45965;-31,96115;88,70009;6,4;-90;58,31166;9,422337;12,65392261;9,269160895;-70,46726223;-31,94697523;86,31931532;WellsCoppersmith;1,424338294;0,010391733;1285910055;;;
