,ssh_time_interval,boundingbox_upperright_lon,boundingbox_upperright_lat,boundingbox_lowerleft_lon,boundingbox_lowerleft_lat,certificate,dip,fault_depth,id_long,magnitude,model,model_version,path,provider,rake,scope,simulation_time,slip,strike,x,y,scenario_id
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,14.20000,30659.80,RG_C00004604_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00004604_mw8.05_04h,AWI,90.0000,REGIONAL,240,6.0400,7.5000,-71.56040,-30.27750,C00004604
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,16.80000,36754.30,RG_C00000403_mw8.45_04h,8.45,TsunAWI,r2019,RG_C00000403_mw8.45_04h,AWI,90.0000,REGIONAL,240,11.2200,7.3000,-71.56430,-31.38000,C00000403
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.00000,39853.40,RG_C00014271_mw8.15_04h,8.15,TsunAWI,r2019,RG_C00014271_mw8.15_04h,AWI,90.0000,REGIONAL,240,5.6600,6.9000,-71.12600,-29.76870,C00014271
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.50000,30799.60,RG_C00018520_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00018520_mw8.05_04h,AWI,90.0000,REGIONAL,240,4.9500,8.3000,-71.32820,-28.37210,C00018520
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,12.70000,46889.60,RG_C00011115_mw8.25_04h,8.25,TsunAWI,r2019,RG_C00011115_mw8.25_04h,AWI,90.0000,REGIONAL,240,2.1000,7.6000,-71.22330,-31.98030,C00011115
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.30000,39006.90,RG_C00018495_mw8.25_04h,8.25,TsunAWI,r2019,RG_C00018495_mw8.25_04h,AWI,90.0000,REGIONAL,240,6.6300,7.5000,-71.16220,-28.92280,C00018495
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.30000,23537.60,RG_C00002798_mw9.25_04h,9.25,TsunAWI,r2019,RG_C00002798_mw9.25_04h,AWI,90.0000,REGIONAL,240,23.9700,9.7000,-73.83750,-36.18090,C00002798
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,19.20000,25046.90,RG_C00007334_mw8.45_04h,8.45,TsunAWI,r2019,RG_C00007334_mw8.45_04h,AWI,90.0000,REGIONAL,240,29.3800,8.0000,-71.44430,-28.38810,C00007334
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.80000,33382.50,RG_C00011515_mw8.15_04h,8.15,TsunAWI,r2019,RG_C00011515_mw8.15_04h,AWI,90.0000,REGIONAL,240,6.8300,8.9000,-71.19040,-28.20820,C00011515
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,19.10000,30682.80,RG_C00006013_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00006013_mw8.05_04h,AWI,90.0000,REGIONAL,240,5.8500,9.1000,-71.38120,-28.69890,C00006013
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,13.20000,43290.80,RG_C00017315_mw8.25_04h,8.25,TsunAWI,r2019,RG_C00017315_mw8.25_04h,AWI,90.0000,REGIONAL,240,5.6200,7.4000,-71.42620,-32.20020,C00017315
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,15.00000,38910.70,RG_C00004779_mw8.35_04h,8.35,TsunAWI,r2019,RG_C00004779_mw8.35_04h,AWI,90.0000,REGIONAL,240,10.8100,8.6000,-71.68060,-32.13870,C00004779
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,12.80000,35630.40,RG_C00003710_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00003710_mw8.05_04h,AWI,90.0000,REGIONAL,240,6.4200,7.7000,-71.88350,-32.48930,C00003710
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,16.50000,34130.70,RG_C00002581_mw8.55_04h,8.55,TsunAWI,r2019,RG_C00002581_mw8.55_04h,AWI,90.0000,REGIONAL,240,11.9600,7.7000,-71.76540,-31.80440,C00002581
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,16.90000,23161.80,RG_C00006536_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00006536_mw8.05_04h,AWI,90.0000,REGIONAL,240,5.4500,7.2000,-71.81490,-29.87630,C00006536
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.80000,24094.20,RG_C00000935_mw8.75_04h,8.75,TsunAWI,r2019,RG_C00000935_mw8.75_04h,AWI,90.0000,REGIONAL,240,9.3800,9.0000,-74.42510,-38.87010,C00000935
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,16.10000,36815.70,RG_C00003553_mw8.45_04h,8.45,TsunAWI,r2019,RG_C00003553_mw8.45_04h,AWI,90.0000,REGIONAL,240,3.1600,8.4000,-71.77540,-32.19830,C00003553
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,21.10000,29844.90,RG_C00003109_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00003109_mw8.05_04h,AWI,90.0000,REGIONAL,240,7.4900,20.0000,-73.14090,-35.15550,C00003109
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.80000,30569.30,RG_C00019593_mw8.35_04h,8.35,TsunAWI,r2019,RG_C00019593_mw8.35_04h,AWI,90.0000,REGIONAL,240,10.0500,7.0000,-71.42060,-29.43390,C00019593
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.80000,23828.80,RG_C00015858_mw8.25_04h,8.25,TsunAWI,r2019,RG_C00015858_mw8.25_04h,AWI,90.0000,REGIONAL,240,9.5400,8.3000,-71.54120,-28.72370,C00015858
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,16.70000,23838.50,RG_C00011444_mw8.45_04h,8.45,TsunAWI,r2019,RG_C00011444_mw8.45_04h,AWI,90.0000,REGIONAL,240,9.5900,7.3000,-72.07540,-31.63210,C00011444
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,14.70000,32414.10,RG_C00023184_mw8.25_04h,8.25,TsunAWI,r2019,RG_C00023184_mw8.25_04h,AWI,90.0000,REGIONAL,240,8.0600,7.4000,-71.74790,-31.46040,C00023184
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.00000,42555.70,RG_C00018152_mw8.65_04h,8.65,TsunAWI,r2019,RG_C00018152_mw8.65_04h,AWI,90.0000,REGIONAL,240,7.5200,10.1000,-73.52460,-37.68700,C00018152
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.70000,25355.20,RG_C00002185_mw8.35_04h,8.35,TsunAWI,r2019,RG_C00002185_mw8.35_04h,AWI,90.0000,REGIONAL,240,7.5000,7.0000,-71.57560,-29.43300,C00002185
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.50000,38338.90,RG_C00022724_mw8.45_04h,8.45,TsunAWI,r2019,RG_C00022724_mw8.45_04h,AWI,90.0000,REGIONAL,240,7.7900,7.2000,-71.32620,-30.67140,C00022724
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,15.10000,31209.00,RG_C00015950_mw8.15_04h,8.15,TsunAWI,r2019,RG_C00015950_mw8.15_04h,AWI,90.0000,REGIONAL,240,5.8500,7.1000,-71.46500,-30.05100,C00015950
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.40000,29002.80,RG_C00004682_mw8.55_04h,8.55,TsunAWI,r2019,RG_C00004682_mw8.55_04h,AWI,90.0000,REGIONAL,240,6.7800,7.2000,-71.66870,-30.86860,C00004682
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.00000,30989.80,RG_C00010462_mw8.45_04h,8.45,TsunAWI,r2019,RG_C00010462_mw8.45_04h,AWI,90.0000,REGIONAL,240,9.4300,7.3000,-71.69320,-31.05940,C00010462
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.20000,44637.30,RG_C00005004_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00005004_mw8.05_04h,AWI,90.0000,REGIONAL,240,4.0400,16.6000,-72.50050,-34.87180,C00005004
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.60000,29735.00,RG_C00002694_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00002694_mw8.05_04h,AWI,90.0000,REGIONAL,240,5.8600,7.3000,-71.31180,-28.36240,C00002694
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,15.00000,32610.80,RG_C00010460_mw8.25_04h,8.25,TsunAWI,r2019,RG_C00010460_mw8.25_04h,AWI,90.0000,REGIONAL,240,5.7000,7.2000,-71.51760,-30.84600,C00010460
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,16.90000,31565.80,RG_C00011463_mw8.25_04h,8.25,TsunAWI,r2019,RG_C00011463_mw8.25_04h,AWI,90.0000,REGIONAL,240,7.8500,7.4000,-71.78840,-31.21040,C00011463
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,10.90000,44577.20,RG_C00018489_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00018489_mw8.05_04h,AWI,90.0000,REGIONAL,240,2.7800,9.9000,-71.48960,-32.77540,C00018489
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,19.30000,30668.30,RG_C00013061_mw8.45_04h,8.45,TsunAWI,r2019,RG_C00013061_mw8.45_04h,AWI,90.0000,REGIONAL,240,11.6900,8.8000,-71.38590,-28.77370,C00013061
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.40000,32966.20,RG_C00014551_mw8.15_04h,8.15,TsunAWI,r2019,RG_C00014551_mw8.15_04h,AWI,90.0000,REGIONAL,240,3.2100,7.8000,-71.35170,-28.88640,C00014551
